"filename", "language", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"/Users/paulstevens/Developer/portfolio-game/src/components/BackButton/BackButton.jsx", "JavaScript", 17, 0, 0, 0, 2, 19
"/Users/paulstevens/Developer/portfolio-game/src/components/BackButton/BackButton.scss", "SCSS", 0, 11, 0, 0, 1, 12
"/Users/paulstevens/Developer/portfolio-game/src/components/Building/Building.jsx", "JavaScript", 63, 0, 0, 0, 9, 72
"/Users/paulstevens/Developer/portfolio-game/src/components/Building/Building.scss", "SCSS", 0, 23, 0, 0, 4, 27
"/Users/paulstevens/Developer/portfolio-game/src/components/Buildings/Buildings.jsx", "JavaScript", 13, 0, 0, 0, 3, 16
"/Users/paulstevens/Developer/portfolio-game/src/components/Buttons/Buttons.jsx", "JavaScript", 66, 0, 0, 0, 11, 77
"/Users/paulstevens/Developer/portfolio-game/src/components/Buttons/Buttons.scss", "SCSS", 0, 44, 0, 0, 9, 53
"/Users/paulstevens/Developer/portfolio-game/src/components/Engine/Engine.jsx", "JavaScript", 140, 0, 0, 0, 21, 161
"/Users/paulstevens/Developer/portfolio-game/src/components/Engine/Engine.scss", "SCSS", 0, 13, 0, 0, 1, 14
"/Users/paulstevens/Developer/portfolio-game/src/components/Eye/Eye.jsx", "JavaScript", 26, 0, 0, 0, 7, 33
"/Users/paulstevens/Developer/portfolio-game/src/components/Eye/Eye.scss", "SCSS", 0, 3, 0, 0, 0, 3
"/Users/paulstevens/Developer/portfolio-game/src/components/Header/Header.jsx", "JavaScript", 18, 0, 0, 0, 4, 22
"/Users/paulstevens/Developer/portfolio-game/src/components/Header/Header.scss", "SCSS", 0, 15, 0, 0, 3, 18
"/Users/paulstevens/Developer/portfolio-game/src/components/Line/Line.jsx", "JavaScript", 21, 0, 0, 0, 3, 24
"/Users/paulstevens/Developer/portfolio-game/src/components/Line/Line.scss", "SCSS", 0, 12, 0, 0, 2, 14
"/Users/paulstevens/Developer/portfolio-game/src/components/Player/Player.jsx", "JavaScript", 36, 0, 0, 0, 7, 43
"/Users/paulstevens/Developer/portfolio-game/src/components/Player/Player.scss", "SCSS", 0, 3, 0, 0, 0, 3
"/Users/paulstevens/Developer/portfolio-game/src/components/Popup/Popup.jsx", "JavaScript", 58, 0, 0, 0, 10, 68
